Time,JUNCTION-30,JUNCTION-16,JUNCTION-20,JUNCTION-45,JUNCTION-90
4.248542177357959027e+00,2.682915021194572773e+02,2.633543208610685724e+02,2.206617242034332378e+02,3.580674563573639375e+02,2.421618692402382464e+02
4.256183440266875451e+00,2.681477486245284467e+02,2.633543218852024665e+02,2.206574277135095485e+02,3.574977116576363869e+02,2.416211587321369052e+02
4.263824703175792763e+00,2.681730590405296653e+02,2.633543209245929688e+02,2.206625711232468348e+02,3.569579761945382756e+02,2.409958091861278149e+02
4.271465966084710075e+00,2.680029478561754672e+02,2.633543224592455090e+02,2.206661482829833290e+02,3.563118410569833827e+02,2.402447625731726646e+02
4.279107228993627388e+00,2.677709911044102000e+02,2.633543214736808977e+02,2.206808211406213900e+02,3.561445116678975751e+02,2.399780338174962253e+02
4.286748491902544700e+00,2.674102335156915728e+02,2.633543215342831445e+02,2.207148701202012546e+02,3.559159717340855309e+02,2.394829786714524005e+02
4.294389754811462012e+00,2.672083107620227338e+02,2.633543212150958084e+02,2.207631966296692667e+02,3.556164292723611311e+02,2.389482006686691022e+02
4.302031017720379324e+00,2.672824293609615438e+02,2.633543230535927364e+02,2.208686157334411746e+02,3.552260684445295738e+02,2.385419143137842184e+02
4.309672280629295749e+00,2.674971406609186602e+02,2.633543233450085950e+02,2.210354345886576368e+02,3.550930552083387397e+02,2.387563404853495683e+02
4.317313543538213061e+00,2.680075867968057537e+02,2.633543254673464844e+02,2.212518678608135758e+02,3.548938757907899912e+02,2.385496609338881342e+02
4.324954806447130373e+00,2.687393965895240626e+02,2.633543251884066763e+02,2.215103827020314782e+02,3.549945997575774186e+02,2.382926282782269993e+02
4.332596069356047686e+00,2.689509139120872305e+02,2.633543254937143843e+02,2.216858251565370779e+02,3.550722975602781730e+02,2.380568815788546715e+02
4.340237332264964998e+00,2.691215009369273616e+02,2.633543255406771095e+02,2.218866905838625030e+02,3.551169043467971278e+02,2.377896068054536158e+02
4.347878595173882310e+00,2.693218363213574662e+02,2.633543265262848649e+02,2.221319679496055812e+02,3.551184206482169543e+02,2.375802608041669544e+02
4.355519858082799622e+00,2.695043962150638777e+02,2.633543262157575668e+02,2.223890794239197817e+02,3.551760684395525800e+02,2.374017988314567447e+02
4.363161120991716047e+00,2.692102828051881147e+02,2.633543247241902918e+02,2.227037719116915184e+02,3.553148168925923187e+02,2.369390985143049591e+02
4.370802383900633359e+00,2.688889438087280155e+02,2.633543234892334226e+02,2.230769519107899725e+02,3.552162442422612116e+02,2.361917818788396630e+02
4.378443646809550671e+00,2.682471691336510844e+02,2.633543235423445594e+02,2.233894076437422314e+02,3.551486748080885150e+02,2.354931216564862950e+02
4.386084909718467983e+00,2.677594235940429712e+02,2.633543225917779296e+02,2.236842620936685080e+02,3.546807914609739782e+02,2.352724013509665326e+02
4.393726172627385296e+00,2.677792498136520294e+02,2.633543231319048914e+02,2.239182006372205080e+02,3.558218866892433994e+02,2.349274586659330737e+02
4.401367435536302608e+00,2.680542497687161472e+02,2.633543244026876096e+02,2.241614807828063647e+02,3.569135004791330630e+02,2.347715930519308074e+02
4.409008698445219920e+00,2.684109936887863341e+02,2.633543252410931927e+02,2.244341304165246811e+02,3.581187176392004972e+02,2.345935601463506543e+02
4.416649961354137233e+00,2.688135616422836733e+02,2.633543261575583188e+02,2.247445987486649983e+02,3.594680760459701787e+02,2.341867279873291068e+02
4.424291224263053657e+00,2.687690944806850553e+02,2.633543234674318114e+02,2.248808198908969302e+02,3.609744162130402856e+02,2.338383145549099424e+02
4.431932487171970969e+00,2.687838890371049274e+02,2.633543236237890142e+02,2.249801657822820857e+02,3.627145107434477040e+02,2.335277235201853330e+02
4.439573750080888281e+00,2.688699360432123626e+02,2.633543234187752660e+02,2.251171239331227412e+02,3.645673199950762751e+02,2.330943564666883390e+02
4.447215012989805594e+00,2.687713948825850139e+02,2.633543263422632208e+02,2.252944306500619120e+02,3.666706570926389759e+02,2.324593003911205074e+02
4.454856275898722906e+00,2.685688294502890017e+02,2.633543270347554994e+02,2.253714900841286521e+02,3.690431930937075435e+02,2.319125664656594097e+02
4.462497538807640218e+00,2.683531624044065325e+02,2.633543293490749875e+02,2.254916887789395901e+02,3.714537574708399461e+02,2.312675480316040932e+02
4.470138801716557531e+00,2.682072476175142697e+02,2.633543288565592206e+02,2.258871315975498533e+02,3.741269947130730316e+02,2.308740993236882844e+02
4.477780064625473955e+00,2.680942915328590743e+02,2.633543279300783979e+02,2.263309277837605578e+02,3.775699234793556229e+02,2.302600597744340405e+02
4.485421327534391267e+00,2.677368131071456219e+02,2.633543281438115855e+02,2.266153429024799664e+02,3.814160781546786438e+02,2.296111885941076594e+02
4.493062590443308579e+00,2.673577969416120936e+02,2.633543264501861927e+02,2.270104971679903656e+02,3.859999604333371508e+02,2.289505933303799168e+02
4.500703853352225892e+00,2.668789091964655995e+02,2.633543257771758022e+02,2.272721098728252969e+02,3.904190363669532076e+02,2.280157591188904860e+02
4.508345116261143204e+00,2.663431003427889436e+02,2.633543255825692313e+02,2.275757326418047057e+02,3.953300930511722981e+02,2.272391923559922020e+02
4.515986379170060516e+00,2.655328576967432355e+02,2.633543266530494975e+02,2.275684653562611004e+02,4.009116910789651911e+02,2.261561012005919906e+02
4.523627642078977829e+00,2.646604029213254421e+02,2.633543262408297778e+02,2.275623084201894528e+02,4.070788040826715815e+02,2.258827177362143459e+02
4.531268904987895141e+00,2.642249346625760609e+02,2.633543273898871462e+02,2.275414687960009132e+02,4.142987271674629710e+02,2.251796713936532228e+02
4.538910167896811565e+00,2.640573114592942261e+02,2.633543285710600230e+02,2.275773931541062893e+02,4.225404510816180164e+02,2.244298372612269077e+02
4.546551430805728877e+00,2.637755947192408712e+02,2.633543271425039052e+02,2.274156116456363179e+02,4.309222487116870184e+02,2.242592728843747238e+02
